year,place,athlete,country,time,gender
2019,Gold,Jan Frodeno,GER,07:51:13,Male
2018,Gold,Patrick Lange,GER,07:52:39,Male
2017,Gold,Patrick Lange,GER,08:01:40,Male
2016,Gold,Jan Frodeno,GER,08:06:30,Male
2015,Gold,Jan Frodeno,GER,08:14:40,Male
2014,Gold,Sebastian Kienle,GER,08:14:18,Male
2013,Gold,Frederik Van Lierde,BEL,08:12:29,Male
2004,Gold,Normann Stadler,GER,08:33:29,Male
2003,Gold,Peter Reid,CAN,08:22:35,Male
2002,Gold,Tim DeBoom,USA,08:29:56,Male
2001,Gold,Tim DeBoom,USA,08:31:18,Male
2000,Gold,Peter Reid,CAN,08:21:01,Male
1999,Gold,Luc Van Lierde,BEL,08:17:17,Male
1998,Gold,Peter Reid,CAN,08:24:20,Male
1997,Gold,Thomas Hellriegel,GER,08:33:01,Male
1996,Gold,Luc Van Lierde,BEL,08:04:08,Male
1995,Gold,Mark Allen,USA,08:20:34,Male
1994,Gold,Greg Welch,AUS,08:20:27,Male
1993,Gold,Mark Allen,USA,08:07:45,Male
1992,Gold,Mark Allen,USA,08:09:08,Male
1991,Gold,Mark Allen,USA,08:18:32,Male
1990,Gold,Mark Allen,USA,08:28:17,Male
1989,Gold,Mark Allen,USA,08:09:14,Male
2012,Gold,Pete Jacobs,AUS,08:18:37,Male
2011,Gold,Craig Alexander,AUS,08:03:56,Male
2010,Gold,Chris McCormack,AUS,08:10:37,Male
2009,Gold,Craig Alexander,AUS,08:20:21,Male
2008,Gold,Craig Alexander,AUS,08:17:45,Male
2007,Gold,Chris McCormack,AUS,08:15:34,Male
2006,Gold,Normann Stadler,GER,08:11:58,Male
2005,Gold,Faris Al-Sultan,GER,08:14:17,Male
1999,Silver,Peter Reid,CAN,08:22:54,Male
1998,Silver,Luc Van Lierde,BEL,08:31:57,Male
1997,Silver,Jürgen Zäck,GER,08:39:18,Male
1996,Silver,Thomas Hellriegel,GER,08:06:07,Male
1995,Silver,Thomas Hellriegel,GER,08:22:59,Male
1994,Silver,Dave Scott,USA,08:24:32,Male
1993,Silver,Pauli Kiuru,FIN,08:14:27,Male
1992,Silver,Cristián Bustos,CHI,08:16:29,Male
1991,Silver,Greg Welch,AUS,08:24:34,Male
1990,Silver,Scott Tinley,USA,08:37:40,Male
1989,Silver,Dave Scott,USA,08:10:13,Male
1988,Silver,Mike Pigg,USA,08:33:11,Male
1987,Silver,Mark Allen,USA,08:45:19,Male
1986,Silver,Mark Allen,USA,08:36:04,Male
1985,Silver,Chris Hinshaw,USA,09:16:40,Male
1984,Silver,Scott Tinley,USA,09:18:45,Male
1983,Silver,Scott Tinley,USA,09:06:30,Male
1982 (Oct),Silver,Scott Tinley,USA,09:28:28,Male
1982 (Feb),Silver,Dave Scott,USA,09:36:57,Male
1981,Silver,Tom Warren,USA,10:04:38,Male
1980,Silver,Chuck Neumann,USA,10:24:41,Male
1979,Silver,John Dunbar,USA,12:03:56,Male
1978,Silver,John Dunbar,USA,12:20:27,Male
2019,Bronze,Sebastian Kienle,GER,08:02:04,Male
2018,Bronze,David McNamee,GBR,08:01:09,Male
2017,Bronze,David McNamee,GBR,08:07:11,Male
2016,Bronze,Patrick Lange,GER,08:11:14,Male
2015,Bronze,Timothy O'Donnell,USA,08:18:50,Male
2014,Bronze,Jan Frodeno,GER,08:20:32,Male
2013,Bronze,Sebastian Kienle,GER,08:19:24,Male
2012,Bronze,Frederik Van Lierde,BEL,08:24:09,Male
2011,Bronze,Andreas Raelert,GER,08:11:07,Male
2010,Bronze,Marino Vanhoenacker,BEL,08:13:14,Male
2009,Bronze,Andreas Raelert,GER,08:24:32,Male
2008,Bronze,Rutger Beke,BEL,08:21:23,Male
2007,Bronze,Torbjørn Sindballe,DEN,08:21:30,Male
2006,Bronze,Faris Al-Sultan,GER,08:19:05,Male
2005,Bronze,Peter Reid,CAN,08:20:04,Male
2004,Bronze,Faris Al-Sultan,GER,08:45:14,Male
2003,Bronze,Cameron Brown,NZL,08:30:08,Male
2002,Bronze,Cameron Brown,NZL,08:35:34,Male
2001,Bronze,Thomas Hellriegel,GER,08:47:40,Male
2000,Bronze,Normann Stadler,GER,08:26:45,Male
1999,Bronze,Tim DeBoom,USA,08:25:42,Male
1998,Bronze,Lothar Leder,GER,08:32:57,Male
1997,Bronze,Lothar Leder,GER,08:40:30,Male
1996,Bronze,Greg Welch,AUS,08:18:57,Male
1995,Bronze,Rainer Müller-Hörner,GER,08:25:23,Male
1994,Bronze,Jeff Devlin,USA,08:31:56,Male
1993,Bronze,Wolfgang Dittrich,GER,08:20:13,Male
1992,Bronze,Pauli Kiuru,FIN,08:17:29,Male
1991,Bronze,Jeff Devlin,USA,08:27:55,Male
1990,Bronze,Pauli Kiuru,FIN,08:39:24,Male
1989,Bronze,Greg Welch,AUS,08:32:16,Male
1988,Bronze,Ken Glah,USA,08:38:37,Male
1987,Bronze,Greg Stewart,AUS,08:58:53,Male
1986,Bronze,Scott Tinley,USA,09:00:37,Male
1985,Bronze,Carl Kupferschmid,SUI,09:26:32,Male
1984,Bronze,Grant Boswell,USA,09:23:55,Male
1983,Bronze,Mark Allen,USA,09:21:06,Male
1982 (Oct),Bronze,Jeff Tinley,USA,09:36:53,Male
1982 (Feb),Bronze,Jeff Tinley,USA,09:53:16,Male
1981,Bronze,Scott Tinley,USA,10:12:47,Male
1980,Bronze,John Howard,USA,10:32:36,Male
1988,Gold,Scott Molina,USA,08:31:00,Male
1987,Gold,Dave Scott,USA,08:34:13,Male
1986,Gold,Dave Scott,USA,08:28:37,Male
1985,Gold,Scott Tinley,USA,08:50:54,Male
1984,Gold,Dave Scott,USA,08:54:20,Male
1983,Gold,Dave Scott,USA,09:05:57,Male
1982 (Oct),Gold,Dave Scott,USA,09:08:23,Male
1982 (Feb),Gold,Scott Tinley,USA,09:19:41,Male
1981,Gold,John Howard,USA,09:38:29,Male
1980,Gold,Dave Scott,USA,09:24:33,Male
1979,Gold,Tom Warren,USA,11:15:56,Male
1978,Gold,Gordon Haller,USA,11:46:58,Male
2019,Silver,Tim O'Donnell,USA,07:59:40,Male
2018,Silver,Bart Aernouts,BEL,07:56:41,Male
2017,Silver,Lionel Sanders,CAN,08:04:07,Male
2016,Silver,Sebastian Kienle,GER,08:10:02,Male
2015,Silver,Andreas Raelert,GER,08:17:43,Male
2014,Silver,Ben Hoffman,USA,08:19:23,Male
2013,Silver,Luke McKenzie,AUS,08:15:19,Male
2012,Silver,Andreas Raelert,GER,08:23:40,Male
2011,Silver,Pete Jacobs,AUS,08:09:11,Male
2010,Silver,Andreas Raelert,GER,08:12:17,Male
2009,Silver,Chris Lieto,USA,08:22:56,Male
2008,Silver,Eneko Llanos,ESP,08:20:50,Male
2007,Silver,Craig Alexander,AUS,08:19:04,Male
2006,Silver,Chris McCormack,AUS,08:13:10,Male
2005,Silver,Cameron Brown,NZL,08:19:36,Male
2004,Silver,Peter Reid,CAN,08:43:40,Male
2003,Silver,Rutger Beke,BEL,08:28:27,Male
2002,Silver,Peter Reid,CAN,08:33:06,Male
2001,Silver,Cameron Brown,NZL,08:46:10,Male
2000,Silver,Tim DeBoom,USA,08:23:10,Male
1979,Bronze,Ian Emberson,USA,12:23:30,Male
1978,Bronze,Dave Orlowski,USA,13:59:13,Male
2019,Gold,Anne Haug,GER,08:40:10,Female
2018,Gold,Daniela Ryf,SUI,08:26:18,Female
2017,Gold,Daniela Ryf,SUI,08:50:47,Female
2016,Gold,Daniela Ryf,SUI,08:46:46,Female
2015,Gold,Daniela Ryf,SUI,08:57:57,Female
2014,Gold,Mirinda Carfrae,AUS,09:00:55,Female
2013,Gold,Mirinda Carfrae,AUS,08:52:14,Female
2012,Gold,Leanda Cave,GBR,09:15:54,Female
2011,Gold,Chrissie Wellington,GBR,08:55:08,Female
2010,Gold,Mirinda Carfrae,AUS,08:58:36,Female
2009,Gold,Chrissie Wellington,GBR,08:54:02,Female
2008,Gold,Chrissie Wellington,GBR,09:06:23,Female
2007,Gold,Chrissie Wellington,GBR,09:08:45,Female
2006,Gold,Michellie Jones,AUS,09:18:31,Female
2005,Gold,Natascha Badmann,SUI,09:09:30,Female
2004,Gold,Natascha Badmann,SUI,09:50:04,Female
2003,Gold,Lori Bowden,CAN,09:11:55,Female
2002,Gold,Natascha Badmann,SUI,09:07:54,Female
2001,Gold,Natascha Badmann,SUI,09:28:37,Female
2000,Gold,Natascha Badmann,SUI,09:26:17,Female
1999,Gold,Lori Bowden,CAN,09:13:02,Female
1998,Gold,Natascha Badmann,SUI,09:24:16,Female
1997,Gold,Heather Fuhr,CAN,09:31:43,Female
1996,Gold,Paula Newby-Fraser†,USA,09:06:49,Female
1995,Gold,Karen Smyers,USA,09:16:46,Female
1994,Gold,Paula Newby-Fraser,ZIM,09:20:14,Female
1993,Gold,Paula Newby-Fraser,ZIM,08:58:23,Female
1992,Gold,Paula Newby-Fraser,ZIM,08:55:28,Female
1991,Gold,Paula Newby-Fraser,ZIM,09:07:52,Female
1990,Gold,Erin Baker,NZL,09:13:42,Female
1989,Gold,Paula Newby-Fraser,ZIM,09:00:56,Female
1988,Gold,Paula Newby-Fraser,ZIM,09:01:01,Female
1987,Gold,Erin Baker,NZL,09:35:25,Female
1986,Gold,Paula Newby-Fraser,ZIM,09:49:14,Female
1985,Gold,Joanne Ernst,USA,10:25:22,Female
1984,Gold,Sylviane Puntous,CAN,10:25:13,Female
1983,Gold,Sylviane Puntous,CAN,10:43:36,Female
1982 (Oct),Gold,Julie Leach,USA,10:54:08,Female
1982 (Feb),Gold,Kathleen McCartney,USA,11:09:40,Female
1981,Gold,Linda Sweeney,USA,12:02:32,Female
1980,Gold,Robin Beck,USA,11:21:24,Female
1979,Gold,Lyn Lemaire,USA,12:55:38,Female
2019,Silver,Lucy Charles,GBR,08:46:44,Female
2018,Silver,Lucy Charles,GBR,08:36:32,Female
2017,Silver,Lucy Charles,GBR,08:59:38,Female
2016,Silver,Mirinda Carfrae,AUS,09:10:30,Female
2015,Silver,Rachel Joyce,GBR,09:10:59,Female
2014,Silver,Daniela Ryf,SUI,09:02:57,Female
2013,Silver,Rachel Joyce,GBR,08:57:28,Female
2012,Silver,Caroline Steffen,SUI,09:16:58,Female
2011,Silver,Mirinda Carfrae,AUS,08:57:57,Female
2010,Silver,Caroline Steffen,SUI,09:06:00,Female
2009,Silver,Mirinda Carfrae,AUS,09:13:59,Female
2008,Silver,Yvonne van Vlerken,NED,09:21:20,Female
2007,Silver,Samantha McGlone,CAN,09:14:04,Female
2006,Silver,Desiree Ficker,USA,09:24:02,Female
2005,Silver,Michellie Jones,AUS,09:11:51,Female
2004,Silver,Heather Fuhr,CAN,09:56:19,Female
2003,Silver,Natascha Badmann,SUI,09:17:08,Female
2002,Silver,Nina Kraft,GER,09:14:24,Female
2001,Silver,Lori Bowden,CAN,09:32:59,Female
2000,Silver,Lori Bowden,CAN,09:29:05,Female
1999,Silver,Karen Smyers,USA,09:20:40,Female
1998,Silver,Lori Bowden,CAN,09:27:19,Female
1997,Silver,Lori Bowden,CAN,09:41:42,Female
1996,Silver,Natascha Badmann,SUI,09:11:19,Female
1995,Silver,Isabelle Mouthon,FRA,09:25:13,Female
1994,Silver,Karen Smyers,USA,09:28:08,Female
1993,Silver,Erin Baker,NZL,09:08:04,Female
1992,Silver,Julie Anne White,CAN,09:21:40,Female
1991,Silver,Erin Baker,NZL,09:23:37,Female
1990,Silver,Paula Newby-Fraser,ZIM,09:20:01,Female
1989,Silver,Sylviane Puntous,CAN,09:21:55,Female
1988,Silver,Erin Baker,NZL,09:12:14,Female
1987,Silver,Sylviane Puntous,CAN,09:36:57,Female
1986,Silver,Sylviane Puntous,CAN,09:53:13,Female
1985,Silver,Elizabeth Bulman,USA,10:26:55,Female
1984,Silver,Patricia Puntous,CAN,10:27:28,Female
1983,Silver,Patricia Puntous,CAN,10:49:17,Female
1982 (Oct),Silver,Jo Ann Dahlkoetter,USA,10:58:21,Female
1982 (Feb),Silver,Julie Moss,USA,11:10:09,Female
1981,Silver,Sally Edwards,USA,12:37:25,Female
1980,Silver,Eve Anderson,USA,15:40:59,Female
2019,Bronze,Sarah Crowley,AUS,08:48:13,Female
2018,Bronze,Anne Haug,GER,08:41:57,Female
2017,Bronze,Sarah Crowley,AUS,09:01:38,Female
2016,Bronze,Heather Jackson,USA,09:11:32,Female
2015,Bronze,Liz Blatchford,GBR,09:14:52,Female
2014,Bronze,Rachel Joyce,GBR,09:04:23,Female
2013,Bronze,Liz Blatchford,GBR,09:03:35,Female
2012,Bronze,Mirinda Carfrae,AUS,09:21:41,Female
2011,Bronze,Leanda Cave,GBR,09:03:29,Female
2010,Bronze,Julie Dibens,GBR,09:10:04,Female
2009,Bronze,Virginia Berasategui,ESP,09:15:28,Female
2008,Bronze,Sandra Wallenhorst,GER,09:22:52,Female
2007,Bronze,Kate Major,AUS,09:19:13,Female
2006,Bronze,Lisa Bentley,CAN,09:25:18,Female
2005,Bronze,Kate Major,AUS,09:12:39,Female
2004,Bronze,Kate Major,AUS,10:01:56,Female
2003,Bronze,Nina Kraft,GER,09:17:16,Female
2002,Bronze,Lori Bowden,CAN,09:22:27,Female
2001,Bronze,Nina Kraft,GER,09:41:01,Female
2000,Bronze,Fernanda Keller,BRA,09:31:29,Female
1999,Bronze,Fernanda Keller,BRA,09:24:30,Female
1998,Bronze,Fernanda Keller,BRA,09:28:29,Female
1997,Bronze,Fernanda Keller,BRA,09:50:02,Female
1996,Bronze,Karen Smyers,USA,09:19:13,Female
1995,Bronze,Fernanda Keller,BRA,09:37:48,Female
1994,Bronze,Fernanda Keller,BRA,09:43:30,Female
1993,Bronze,Susan Latshaw,USA,09:20:40,Female
1992,Bronze,Thea Sybesma,NED,09:26:57,Female
1991,Bronze,Sarah Coope,GBR,09:33:20,Female
1990,Bronze,Terri Schneider,USA,10:00:34,Female
1989,Bronze,Kirsten Hanssen,USA,09:24:31,Female
1988,Bronze,Kirsten Hanssen,USA,09:37:25,Female
1987,Bronze,Paula Newby-Fraser,ZIM,09:40:37,Female
1986,Bronze,Joanne Ernst,USA,10:00:07,Female
1985,Bronze,Paula Newby-Fraser,ZIM,10:31:04,Female
1984,Bronze,Julie Olson,USA,10:38:10,Female
1983,Bronze,Eva Ueltzen,USA,11:01:49,Female
1982 (Oct),Bronze,Sally Edwards,USA,11:03:00,Female
1982 (Feb),Bronze,Lyn Brooks,USA,11:51:00,Female
1981,Bronze,Lyn Brooks,USA,12:42:15,Female
